"
",name,jp,difficulty,time,skill,#timey,#8.4 diff,*ms: 9.5,*bottle: 2,*hookshot: 2.75,*gclw: 1,selfsynergy,childchu,chuczl,botwrupee,ganonchu,hovers,endon,childtrade,saria,czl,poachers,bothzl,lightarrow,claimcheck,magic,forest,meg,quiver,pg,gtunic,dmc,dmcchild,fire,fountain,jabu,ice,irons,lonlon,water,longshot,shadow,fortress,gtg,spirit,deku,bganon,aganon,cganon,dc,kd,childreset,beans,swords,child2,marketgs,froghp,map,compass,bosskey,bosskey2,bossdoor,songs4,songs5,songs10,hearts3,hearts4,skulls,silverrupee,goldrupee,strength,bottleslot,bulletbag,bombbag,bbprize,sticks,dins,firearrow,inctunic,incboot,incshield,incsword,incsongs,inchearts,incbeans,incmc,incbk,inclhskull,incirons,incmirror,inclong,incgorons,incwskull,inczoraskull,incgcard,incgtgkey,incctrade,incsaria,incfairy,incforest,incflare,incfirebk,incarrows,incshtrial,incgohma,incdodongo,incbarinade,incfboss,incvolvagia,incwboss,incshboss,incspboss,inclacs,incskulls,incsilvers,incgolds,incbkdoor,incranchskulls,legitlacs
synergy filters,,,,,,,,,,,,,min 1,,min 1,min 1,,max -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,min -2
,1 Skulltula from each Adult Dungeon,全ての大人ダンジョンからスタルチュラ最低1匹ずつ,24,17.75,1,16.75,24,12,0.5,100,1,-3,*-2.5,,*-1,,2.5,,,,,*1,,,,,2.75,,,,,1,,1.5,,,,,,3,,2,2.5,1,3,,,,,,,,,,,,,*6,*6,*4,*3,,,*4.5,,*1,*2.25,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Skulltula from each Child Dungeon,全ての子供ダンジョンからスタルチュラ最低1匹ずつ,10,7.25,0.25,7,12,3,0,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,2,*2,,,,,,,,,,2,,,,1,,,,,,,,*4,*4,,,,,,,*1,*1.5,*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 Unused Small Key in each Adult Dungeon,全ての大人のダンジョンから未使用の鍵最低１つずつ,21,16,0.75,15.25,,10,0.5,100,1,-3,,,,,2.5,,,,,*1,,,,,2.75,,,,,1,,1,,,,,,2,,2,2.5,1,3,,,,,2,,,,,,,,*6,*6,*4,*3,,,*4.5,,*0.5,*2.25,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Songs,歌10つ以上,23,17.25,0.5,16.75,,100,100,2,1,0,*-2.5,,*-1,,*1,-0.25,,,,3.5,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,,,*0.25,,,,,,,*3,,,*2,*1,*3.5,,,,15,10,*1.5,*0.25,*1.5,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 Different Skulltulas,スタルチュラのしるし15個(増殖禁止),7,5,0.5,4.5,10,2,1,2,0.5,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
,2 Boss Keys,ボス部屋の鍵2つ,6,4.75,,4.75,10,2,0.5,2,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,3,2.75,,,,,,,,,*3,*2,6.75,,,,,,*1,*1,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Boots,靴3種,10,7.25,0.25,7,9,3,0,0.5,1,0,,,,,2.5,-0.5,,,,*0.25,,,,,,,,,,,,,2,,1.5,2,,,,,,,,,,,,,,,,,,,,*3,*3,,,,*1.5,,,*1,*0.25,*1,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Boss Keys,ボス部屋の鍵3つ,10,7.75,0.25,7.5,16,100,0.5,100,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,3,2.75,,,,,,,,,*4,*2,12,,,,,,*2,*1,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Lake Hylia Skulltulas,ハイリア湖畔エリアの黄金のスタルチュラ3匹以上,7,5,0.25,4.75,9,0,1.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2,,,,,,,,,,,,,*1.5,,,,*2,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
