goal,count,pick count,win count,pick%,win%
Defeat King Dodongo,1,2,1,200.0,50.0
Forest Temple Boss Key,3,4,1,133.3,25.0
Zora Tunic,1,1,1,100.0,100.0
Fire Medallion,3,3,3,100.0,100.0
3 Swords & 3 Tunics,2,2,0,100.0,0.0
Nayru's Love,2,2,1,100.0,50.0
Bomb Bag (30),1,1,0,100.0,0.0
Open 5 Gold Rupee Chests,1,1,0,100.0,0.0
Boomerang,1,1,0,100.0,0.0
3 Boots,1,1,0,100.0,0.0
Requiem of Spirit,1,1,1,100.0,100.0
Farore's Wind,2,2,1,100.0,50.0
2 Skulltulas in Lon Lon Ranch,1,1,0,100.0,0.0
Get to the end of Shadow Trial,3,3,2,100.0,66.7
15 Different Skulltulas,1,1,0,100.0,0.0
7 Magic Beans,1,1,0,100.0,0.0
Stone of Agony,1,1,0,100.0,0.0
4 Unused Keys in Forest Temple,2,2,2,100.0,100.0
Defeat all Lizalfos in Dodongo's Cavern,1,1,0,100.0,0.0
Fill all 4 Bottle Slots,1,1,1,100.0,100.0
5 Unused Keys in Gerudo Training Grounds,1,1,1,100.0,100.0
Map & Compass in Bottom of the Well,1,1,0,100.0,0.0
All 3 Kokiri Forest area Skulltulas,1,1,1,100.0,100.0
Bullet Bag (50),1,1,1,100.0,100.0
1 Skulltula from each Child Dungeon,1,1,0,100.0,0.0
Keaton Mask,1,1,0,100.0,0.0
4 Songs,1,1,0,100.0,0.0
4 Maps,1,1,0,100.0,0.0
Lon Lon Ranch HP,4,4,2,100.0,50.0
Obtain all 8 Small Keys in Fire Temple,3,2,1,66.7,50.0
Ganon's Castle Boss Key,3,2,0,66.7,0.0
Spirit Temple Boss Key,3,2,1,66.7,50.0
Fire Temple Boss Key,3,2,2,66.7,100.0
Beat Dodongo's Cavern,3,2,1,66.7,50.0
5 Hearts,3,2,1,66.7,50.0
5 Zora area HPs,3,2,2,66.7,100.0
Defeat Meg (purple Poe),3,2,1,66.7,50.0
1 Skulltula from each Adult Dungeon,5,3,2,60.0,66.7
Map & Compass in Spirit Temple,5,3,2,60.0,66.7
8 Hearts (no duping),5,3,2,60.0,66.7
10 Songs,7,4,1,57.1,25.0
All 3 Elemental Arrows,9,5,4,55.6,80.0
Light Arrows,2,1,1,50.0,100.0
5 Maps,2,1,1,50.0,100.0
All 5 Skulltulas in Spirit Temple,2,1,1,50.0,100.0
Beat the Spirit Temple,6,3,1,50.0,33.3
All 5 Skulltulas in Fire Temple,4,2,0,50.0,0.0
Clear 8 Silver Rupee Rooms,2,1,1,50.0,100.0
Two Fairy Spells,4,2,1,50.0,50.0
Iron Boots,2,1,0,50.0,0.0
7 Hearts,2,1,0,50.0,0.0
Map & Compass in Fire Temple,2,1,1,50.0,100.0
Map & Compass in Shadow Temple,2,1,1,50.0,100.0
3 Unused Keys in Gerudo Training Grounds,2,1,1,50.0,100.0
All 4 Lost Woods area Skulltulas,4,2,1,50.0,50.0
All 4 Skulltulas in Jabu-Jabu,2,1,1,50.0,100.0
7 Maps,2,1,1,50.0,100.0
Quiver (40),2,1,1,50.0,100.0
20 Different Skulltulas,2,1,0,50.0,0.0
Beat Jabu-Jabu's Belly,2,1,1,50.0,100.0
7 Different Unused Keys in Gerudo Training Grounds,2,1,1,50.0,100.0
6 Compasses,2,1,0,50.0,0.0
All 4 Gerudo Valley area Skulltulas,2,1,1,50.0,100.0
Beat the Water Temple,2,1,0,50.0,0.0
3 Skulltulas in Water Temple,6,3,2,50.0,66.7
Giant's Knife,2,1,1,50.0,100.0
Silver Scale,4,2,1,50.0,50.0
8 Songs,2,1,1,50.0,100.0
Clear 10 Silver Rupee Rooms,6,3,1,50.0,33.3
Bolero of Fire,4,2,2,50.0,100.0
All 5 Skulltulas in Shadow Temple,8,4,2,50.0,50.0
Open 3 Gold Rupee Chests,4,2,2,50.0,100.0
Defeat Volvagia,8,3,3,37.5,100.0
"3 Swords, Tunics, Boots, and Shields",8,3,2,37.5,66.7
4 Skulltulas in Shadow Temple,3,1,1,33.3,100.0
Saria's Song,3,1,0,33.3,0.0
1 Unused Small Key in each Adult Dungeon,3,1,1,33.3,100.0
3 Shields & 3 Boots,3,1,0,33.3,0.0
3 Shields & 3 Tunics,3,1,0,33.3,0.0
Mirror Shield,3,1,1,33.3,100.0
Obtain all 5 Small Keys in Forest Temple,3,1,0,33.3,0.0
5 Magic Beans,3,1,1,33.3,100.0
Green Gauntlets,3,1,0,33.3,0.0
Shadow Temple Boss Key,3,1,0,33.3,0.0
2 Boss Keys,3,1,0,33.3,0.0
All 3 Skulltulas in Ice Cavern,3,1,1,33.3,100.0
Cow in House,3,1,1,33.3,100.0
All 4 Market area Skulltulas,3,1,1,33.3,100.0
Quiver (50),7,2,1,28.6,50.0
Both Gerudo's Fortress area Skulltulas,4,1,1,25.0,100.0
Defeat 4 Different Iron Knuckles,4,1,0,25.0,0.0
Lens of Truth,4,1,0,25.0,0.0
Both HPs in Lost Woods,4,1,0,25.0,0.0
30 Different Skulltulas,8,2,2,25.0,100.0
Defeat Twinrova,4,1,0,25.0,0.0
Plant 5 Magic Beans,4,1,1,25.0,100.0
30 Deku Nuts,4,1,1,25.0,100.0
3 Tunics,5,1,1,20.0,100.0
Obtain all 5 Small Keys in Shadow Temple,6,1,1,16.7,100.0
Open All 6 Gold Rupee Chests,6,1,1,16.7,100.0
9 Hearts (no duping),6,1,0,16.7,0.0
Get to the end of Water Trial,7,1,1,14.3,100.0
Both Rusty Switches in Spirit Temple,8,1,1,12.5,100.0
Both Gerudo Valley HPs,1,0,0,0.0,0.0
Defeat a White Wolfos,1,0,0,0.0,0.0
3 Shields,1,0,0,0.0,0.0
Frog's HP,1,0,0,0.0,0.0
37th Heart Piece (Child Fortress),1,0,0,0.0,0.0
All 5 Skulltulas in Forest Temple,1,0,0,0.0,0.0
Win Bombchu Bowling Prize,1,0,0,0.0,0.0
All 8 Zora's Domain area Skulltulas,5,0,0,0.0,0.0
Ruto's Letter,1,0,0,0.0,0.0
Water Medallion,1,0,0,0.0,0.0
Defeat Morpha,1,0,0,0.0,0.0
Defeat both Flare Dancers,1,0,0,0.0,0.0
9 Songs,1,0,0,0.0,0.0
Defeat a Skull Kid,1,0,0,0.0,0.0
Ice Cavern HP,1,0,0,0.0,0.0
All 4 Adult Skulltulas in Zora's Domain Area,1,0,0,0.0,0.0
4 Unused Keys in Gerudo Training Grounds,1,0,0,0.0,0.0
7 Compasses,8,0,0,0.0,0.0
5 Compasses,1,0,0,0.0,0.0
Clear 4 Silver Rupee Rooms,1,0,0,0.0,0.0
Get Bombchu chest in Spirit Temple,1,0,0,0.0,0.0
Desert Colossus HP,1,0,0,0.0,0.0
Free all 9 Gorons in Fire Temple,1,0,0,0.0,0.0
